timestamp,symbol,bid,ask,bid_qty,ask_qty
1781169510991,XRPUSDT,1.1166,1.1167,40107.6,200019.8
1781169511128,XRPUSDT,1.1166,1.1167,40008.0,200019.8
1781169511129,XRPUSDT,1.1166,1.1167,40008.0,198924.3
1781169511131,XRPUSDT,1.1166,1.1167,40104.8,198924.3
1781169511132,XRPUSDT,1.1166,1.1167,40104.8,200019.8
1781169511133,XRPUSDT,1.1166,1.1167,40104.8,200015.3
1781169511135,XRPUSDT,1.1166,1.1167,40104.8,199992.0
1781169511139,XRPUSDT,1.1166,1.1167,40104.8,200015.4
1781169511141,XRPUSDT,1.1166,1.1167,40104.8,200019.9
1781169511348,XRPUSDT,1.1166,1.1167,39265.5,200019.9
1781169511349,XRPUSDT,1.1166,1.1167,39265.5,198924.4
1781169511351,XRPUSDT,1.1166,1.1167,40105.6,198924.4
1781169511366,XRPUSDT,1.1166,1.1167,40105.6,200019.9
1781169511557,XRPUSDT,1.1166,1.1167,39894.1,200019.9
1781169511559,XRPUSDT,1.1166,1.1167,39894.1,198924.4
1781169511561,XRPUSDT,1.1166,1.1167,40117.2,198924.4
1781169511563,XRPUSDT,1.1166,1.1167,40049.4,198924.4
1781169511566,XRPUSDT,1.1166,1.1167,40049.4,200019.9
1781169511567,XRPUSDT,1.1166,1.1167,40117.1,200019.9
1781169511567,XRPUSDT,1.1166,1.1167,40117.1,200015.4
1781169511599,XRPUSDT,1.1166,1.1167,38131.4,200015.4
1781169511824,XRPUSDT,1.1166,1.1167,38124.2,200015.4
1781169511825,XRPUSDT,1.1166,1.1167,39869.4,200015.4
1781169511827,XRPUSDT,1.1166,1.1167,39869.4,200019.9
1781169511827,XRPUSDT,1.1166,1.1167,39870.0,200019.9
1781169511832,XRPUSDT,1.1166,1.1167,38124.8,200019.9
1781169511833,XRPUSDT,1.1166,1.1167,39870.0,200019.9
1781169511835,XRPUSDT,1.1166,1.1167,39870.0,199929.4
1781169511858,XRPUSDT,1.1166,1.1167,38124.8,199929.4
1781169511858,XRPUSDT,1.1166,1.1167,38124.8,200019.1
1781169512026,XRPUSDT,1.1166,1.1167,38124.8,208881.4
1781169512027,XRPUSDT,1.1166,1.1167,38124.8,208876.9
1781169512033,XRPUSDT,1.1166,1.1167,39870.0,208876.9
1781169512033,XRPUSDT,1.1166,1.1167,39870.0,208877.5
1781169512033,XRPUSDT,1.1166,1.1167,39861.0,208877.5
1781169512034,XRPUSDT,1.1166,1.1167,39860.4,208877.5
1781169512034,XRPUSDT,1.1166,1.1167,39860.4,208882.0
1781169512034,XRPUSDT,1.1166,1.1167,39869.4,208882.0
1781169512034,XRPUSDT,1.1166,1.1167,38124.2,208882.0
1781169512036,XRPUSDT,1.1166,1.1167,38109.4,208882.0
1781169512038,XRPUSDT,1.1166,1.1167,38124.2,208882.0
1781169512079,XRPUSDT,1.1166,1.1167,37990.4,208882.0
1781169512081,XRPUSDT,1.1166,1.1167,39735.6,208882.0
1781169512082,XRPUSDT,1.1166,1.1167,39726.6,208882.0
1781169512082,XRPUSDT,1.1166,1.1167,39727.2,208882.0
1781169512082,XRPUSDT,1.1166,1.1167,39860.4,208882.0
1781169512084,XRPUSDT,1.1166,1.1167,39869.4,208882.0
1781169512084,XRPUSDT,1.1166,1.1167,39646.3,208882.0
1781169512087,XRPUSDT,1.1166,1.1167,39870.5,208882.0
1781169512088,XRPUSDT,1.1166,1.1167,38125.3,208882.0
1781169512116,XRPUSDT,1.1166,1.1167,38120.5,208882.0
1781169512117,XRPUSDT,1.1166,1.1167,39865.7,208882.0
1781169512119,XRPUSDT,1.1166,1.1167,39865.1,208882.0
1781169512119,XRPUSDT,1.1166,1.1167,39865.1,208886.8
1781169512141,XRPUSDT,1.1166,1.1167,38119.9,208886.8
1781169512171,XRPUSDT,1.1166,1.1167,38119.9,208897.3
1781169512172,XRPUSDT,1.1166,1.1167,39865.1,208897.3
1781169512173,XRPUSDT,1.1166,1.1167,39856.1,208897.3
1781169512174,XRPUSDT,1.1166,1.1167,39856.7,208897.3
1781169512194,XRPUSDT,1.1166,1.1167,38111.5,208897.3
1781169512220,XRPUSDT,1.1166,1.1167,39856.7,208897.3
1781169512222,XRPUSDT,1.1166,1.1167,39856.1,208897.3
1781169512222,XRPUSDT,1.1166,1.1167,39865.1,208897.3
1781169512222,XRPUSDT,1.1166,1.1167,38119.9,208897.3
1781169512326,XRPUSDT,1.1166,1.1167,38054.5,208897.3
1781169512328,XRPUSDT,1.1166,1.1167,39799.7,208897.3
1781169512329,XRPUSDT,1.1166,1.1167,39800.3,208897.3
1781169512330,XRPUSDT,1.1166,1.1167,39865.5,208897.3
1781169512336,XRPUSDT,1.1166,1.1167,38120.3,208897.3
1781169512389,XRPUSDT,1.1166,1.1167,38143.4,208897.3
1781169512390,XRPUSDT,1.1166,1.1167,39888.6,208897.3
1781169512391,XRPUSDT,1.1166,1.1167,39879.6,208897.3
1781169512391,XRPUSDT,1.1166,1.1167,39879.0,208897.3
1781169512392,XRPUSDT,1.1166,1.1167,38133.8,208897.3
1781169512401,XRPUSDT,1.1166,1.1167,38138.6,208897.3
1781169512403,XRPUSDT,1.1166,1.1167,38147.6,208897.3
1781169512536,XRPUSDT,1.1166,1.1167,38124.5,208897.3
1781169512537,XRPUSDT,1.1166,1.1167,39869.7,208897.3
1781169512538,XRPUSDT,1.1166,1.1167,39860.7,208897.3
1781169512539,XRPUSDT,1.1166,1.1167,39861.3,208897.3
1781169512558,XRPUSDT,1.1166,1.1167,38116.1,208897.3
1781169512823,XRPUSDT,1.1166,1.1167,38116.1,208903.0
1781169512824,XRPUSDT,1.1166,1.1167,38125.1,208903.0
1781169512824,XRPUSDT,1.1166,1.1167,39874.7,208903.0
1781169512826,XRPUSDT,1.1166,1.1167,39874.1,208903.0
1781169512828,XRPUSDT,1.1166,1.1167,38124.5,208903.0
1781169512830,XRPUSDT,1.1166,1.1167,39874.1,208903.0
1781169512831,XRPUSDT,1.1166,1.1167,39865.1,208903.0
1781169512854,XRPUSDT,1.1166,1.1167,38115.5,208903.0
1781169512876,XRPUSDT,1.1166,1.1167,38115.5,200040.7
1781169512888,XRPUSDT,1.1166,1.1167,38115.5,199681.8
1781169512890,XRPUSDT,1.1166,1.1167,39865.1,199681.8
1781169512891,XRPUSDT,1.1166,1.1167,39865.7,199681.8
1781169512891,XRPUSDT,1.1166,1.1167,39874.7,199681.8
1781169512908,XRPUSDT,1.1166,1.1167,38125.1,199681.8
1781169512929,XRPUSDT,1.1166,1.1167,38125.1,199677.3
1781169512938,XRPUSDT,1.1166,1.1167,38125.1,199681.8
1781169512939,XRPUSDT,1.1166,1.1167,39874.7,199681.8
1781169512940,XRPUSDT,1.1166,1.1167,39865.7,199681.8
1781169512941,XRPUSDT,1.1166,1.1167,39865.7,199677.3
1781169512941,XRPUSDT,1.1166,1.1167,39865.1,199677.3
1781169512944,XRPUSDT,1.1166,1.1167,39865.1,199681.8
1781169512945,XRPUSDT,1.1166,1.1167,39874.1,199681.8
1781169512955,XRPUSDT,1.1166,1.1167,39874.1,199677.3
1781169512962,XRPUSDT,1.1166,1.1167,38124.5,199677.3
1781169512963,XRPUSDT,1.1166,1.1167,38109.7,199677.3
1781169512964,XRPUSDT,1.1166,1.1167,38124.5,199677.3
1781169513087,XRPUSDT,1.1166,1.1167,38124.5,199682.6
1781169513089,XRPUSDT,1.1166,1.1167,39874.1,199682.6
1781169513089,XRPUSDT,1.1166,1.1167,39865.1,199682.6
1781169513090,XRPUSDT,1.1166,1.1167,39865.7,199682.6
1781169513098,XRPUSDT,1.1166,1.1167,39641.5,199682.6
1781169513101,XRPUSDT,1.1166,1.1167,39866.2,199682.6
1781169513102,XRPUSDT,1.1166,1.1167,39875.2,199682.6
1781169513112,XRPUSDT,1.1166,1.1167,38125.6,199682.6
1781169513118,XRPUSDT,1.1166,1.1167,38118.4,199682.6
1781169513155,XRPUSDT,1.1166,1.1167,38021.6,199682.6
1781169513156,XRPUSDT,1.1166,1.1167,39771.2,199682.6
1781169513158,XRPUSDT,1.1166,1.1167,39770.6,199682.6
1781169513159,XRPUSDT,1.1166,1.1167,39867.8,199682.6
1781169513166,XRPUSDT,1.1166,1.1167,38118.2,199682.6
1781169513258,XRPUSDT,1.1166,1.1167,38118.2,199687.1
1781169513260,XRPUSDT,1.1166,1.1167,39867.8,199687.1
1781169513261,XRPUSDT,1.1166,1.1167,39858.8,199687.1
1781169513263,XRPUSDT,1.1166,1.1167,39859.4,199687.1
1781169513280,XRPUSDT,1.1166,1.1167,38109.8,199687.1
1781169513371,XRPUSDT,1.1166,1.1167,38044.6,199687.1
1781169513373,XRPUSDT,1.1166,1.1167,39794.2,199687.1
1781169513374,XRPUSDT,1.1166,1.1167,39803.2,199687.1
1781169513374,XRPUSDT,1.1166,1.1167,39802.6,199687.1
1781169513375,XRPUSDT,1.1166,1.1167,39867.6,199687.1
